200601	44892
200602	37870
200603	44771
200604	43132
200605	46443
200606	45883
200607	46964
200608	47009
200609	45384
200610	46553
200611	43043
200612	43022
200701	44829
200702	36670
200703	43514
200704	42356
200705	47453
200706	46133
200707	47150
200708	47478
200709	46893
200710	47883
200711	42696
200712	42047
200801	45222
200802	39619
200803	44020
200804	42938
200805	45104
200806	45428
200807	46436
200808	46946
200809	44678
200810	45242
200811	40981
200812	40326
200901	40935
200902	37279
200903	42677
200904	41230
200905	44191
200906	43211
200907	45089
200908	45889
200909	43399
200910	44543
200911	41557
200912	39163
201001	42768
201002	34046
201003	42353
201004	42725
201005	44733
201006	44312
201007	44974
201008	44137
201009	44242
201010	45650
201011	41139
201012	36637
201101	38113
201102	36425
201103	41640
201104	40905
201105	43585
201106	43654
201107	44771
201108	42794
201109	41304
201110	41832
201111	41062
201112	40479
201201	41661
201202	39020
201203	43015
201204	41423
201205	44682
201206	43051
201207	45072
201208	45411
201209	42438
201210	41764
201211	35776
201212	39157
201301	39789
201302	34680
201303	39083
201304	39977
201305	42514
201306	41894
201307	44178
201308	44120
201309	43087
201310	44260
201311	40385
201312	39354
201401	39013
201402	34388
201403	40456
201404	39561
201405	44247
201406	42752
201407	44742
201408	44687
201409	42610
201410	43822
201411	37702
201412	34893
201501	34391
201502	30870
201503	37566
201504	39068
201505	42293
201506	40964
201507	43820
201508	44194
201509	40954
201510	40480
201511	37229
201512	35563
