1015	7
1900	5
1905	2
1906	1
1908	3
1909	3
1910	9
1911	7
1912	9
1913	9
1914	10
1915	7
1919	1
1920	6
1922	1
1929	1
1930	1
1938	1
1940	1
1941	2
1942	2
1945	2
1946	1
1948	1
1950	3
1954	2
1955	3
1956	1
1958	1
1959	2
1960	8
1961	1
1962	3
1964	1
1965	5
1966	26
1967	13
1968	10
1969	6
1970	6
1971	3
1972	5
1973	7
1974	9
1975	8
1976	3
1977	8
1978	5
1979	9
1980	13
1981	8
1982	7
1983	3
1984	7
1985	18
1986	27
1987	12
1988	16
1989	23
1990	34
1991	27
1992	44
1993	42
1994	63
1995	73
1996	120
1997	131
1998	215
1999	333
2000	899
2001	983
2002	1037
2003	1528
2004	2089
2005	10686
2006	534968
2007	535102
2008	526942
2009	509167
2010	507719
2011	496570
2012	502474
2013	493323
2014	488876
2015	467402
